Intento,t,x
1,100,556.00
1,120,556.00
1,140,556.00
1,160,459.00
1,180,384.00
1,200,309.00
1,220,309.00
1,240,365.00
1,260,496.00
1,280,347.00
1,300,403.00
1,320,384.00
1,340,365.00
1,360,617.00
1,380,346.00
1,400,402.00
1,420,383.00
1,440,440.00
1,460,617.00
1,480,576.00
1,500,556.00
1,520,440.00
1,540,421.00
1,560,477.00
1,580,440.00
1,600,577.00
1,620,536.00
1,640,576.00
1,660,515.00
1,680,677.00
1,700,596.00
1,720,738.00
1,740,657.00
1,760,597.00
1,780,617.00
1,800,637.00
1,820,658.00
1,840,677.00
1,860,698.00
1,880,798.00
1,900,718.00
1,920,819.00
1,940,738.00
1,960,839.00
1,980,839.00
1,1000,839.00
1,1020,913.00
1,1040,913.00
1,1060,969.00
1,1080,1025.00
1,1100,1079.00
1,1120,1061.00
1,1140,1043.00
1,1160,1098.00
1,1180,1135.00
1,1200,1173.00
1,1220,1209.00
1,1240,1246.00
1,1260,1283.00
1,1280,1670.00
1,1300,1763.00
1,1320,1733.00
1,1340,1748.00
1,1360,1469.00
1,1380,1536.00
1,1400,1552.00
1,1420,1703.00
1,1440,1669.00
1,1460,1718.00
1,1480,1717.00
1,1500,1763.00
1,1520,1838.00
1,1540,1880.00
1,1560,1907.00
1,1580,1952.00
1,1600,2058.00
1,1620,2087.00
1,1640,2114.00
1,1660,2167.00
1,1680,2221.00
1,1700,2300.00
1,1720,2380.00
1,1740,2394.00
1,1760,2420.00
1,1780,2447.00
1,1800,2473.00
2,20,384.00
2,40,384.00
2,60,384.00
2,80,383.00
2,100,384.00
2,120,384.00
2,140,384.00
2,160,384.00
2,180,384.00
2,200,384.00
2,220,384.00
2,240,384.00
2,260,383.00
2,280,384.00
2,300,384.00
2,320,384.00
2,340,383.00
2,360,384.00
2,380,384.00
2,400,383.00
2,420,384.00
2,440,384.00
2,460,384.00
2,480,383.00
2,500,384.00
2,520,384.00
2,540,384.00
2,560,384.00
2,580,384.00
2,600,384.00
2,620,384.00
2,640,384.00
2,660,384.00
2,680,384.00
2,700,384.00
2,720,384.00
2,740,384.00
2,760,383.00
2,780,383.00
2,800,384.00
2,820,384.00
2,840,384.00
2,860,309.00
2,880,309.00
2,900,365.00
2,920,496.00
2,940,347.00
2,960,403.00
2,980,384.00
2,1000,440.00
2,1020,346.00
2,1040,403.00
2,1060,383.00
2,1080,617.00
2,1100,402.00
2,1120,515.00
2,1140,597.00
2,1160,536.00
2,1180,576.00
2,1200,515.00
2,1220,556.00
2,1240,496.00
2,1260,617.00
2,1280,637.00
2,1300,637.00
2,1320,657.00
2,1340,657.00
2,1360,758.00
2,1380,874.00
2,1400,779.00
2,1420,779.00
2,1440,779.00
2,1460,893.00
2,1480,874.00
2,1500,799.00
2,1520,874.00
2,1540,873.00
2,1560,932.00
2,1580,932.00
2,1600,987.00
2,1620,969.00
2,1640,1024.00
2,1660,1005.00
2,1680,1061.00
2,1700,1098.00
2,1720,1154.00
2,1740,1190.00
2,1760,1246.00
2,1780,1283.00
2,1800,1264.00
2,1820,1301.00
2,1840,1335.00
2,1860,1748.00
2,1880,1435.00
2,1900,1748.00
2,1920,1485.00
2,1940,1552.00
2,1960,1619.00
2,1980,1733.00
2,2000,1748.00
2,2020,1686.00
2,2040,1733.00
2,2060,1823.00
2,2080,1868.00
2,2100,1880.00
2,2120,1922.00
2,2140,1968.00
2,2160,2012.00
2,2180,2058.00
2,2200,2058.00
2,2220,2100.00
2,2240,2154.00
2,2260,2207.00
2,2280,2327.00
2,2300,2353.00
2,2320,2380.00
2,2340,2460.00